Wall time,Step,Value
1766908685.4235892,1492,1.730345368385315
1766908712.344073,1501,1.7326370477676392
1766908732.835208,1508,1.7299245595932007
1766908778.46558,1523,1.725794792175293
1766908781.328715,1524,1.7251418828964233
1766908790.623853,1527,1.724000334739685
1766908846.90879,1546,1.7211793661117554
1766908861.905918,1551,1.7248938083648682
1766908864.914489,1552,1.7244762182235718
1766908870.780854,1554,1.7251118421554565
1766908891.399861,1561,1.7274261713027954
1766908911.88006,1568,1.7311354875564575
1766908914.806016,1569,1.7322338819503784
1766908941.700444,1578,1.7330840826034546
1766908953.40844,1582,1.7337502241134644
1766908959.22364,1584,1.7320232391357422
1766908970.714653,1588,1.7376190423965454
1766908997.1442392,1597,1.7334349155426025
1766909017.977144,1604,1.7347294092178345
1766909021.1443121,1605,1.735004186630249
1766909036.2036219,1610,1.7345190048217773
1766909060.473623,1618,1.7385669946670532
1766909086.443996,1627,1.745787501335144
1766909089.288307,1628,1.745997428894043
1766909100.43518,1632,1.7476743459701538
1766909114.207497,1637,1.7429239749908447
1766909122.4126248,1640,1.739977240562439
1766909128.066151,1642,1.7402613162994385
1766909136.446691,1645,1.7421413660049438
1766909145.1067379,1648,1.7428916692733765
1766909157.876778,1652,1.7444225549697876
1766909181.37737,1660,1.7431060075759888
1766909204.685007,1668,1.7381563186645508
1766909216.3019578,1672,1.7353092432022095
1766909225.054668,1675,1.7346850633621216
1766909227.972491,1676,1.734002709388733
1766909245.4378822,1682,1.73534095287323
1766909248.346004,1683,1.734349250793457
1766909271.3913221,1691,1.735355019569397
1766909282.840822,1695,1.7351278066635132
1766909285.755757,1696,1.7356218099594116
1766909288.6200802,1697,1.7377427816390991
1766909294.416074,1699,1.7355867624282837
1766909302.947585,1702,1.7385368347167969
1766909323.4033642,1709,1.7428016662597656
1766909326.280118,1710,1.7440215349197388
1766909349.7644658,1718,1.745694875717163
1766909352.665055,1719,1.7460572719573975
1766909379.191333,1728,1.745991826057434
1766909391.349372,1732,1.7432465553283691
1766909397.261183,1734,1.742251992225647
1766909406.063766,1737,1.744876503944397
1766909420.984652,1742,1.7521864175796509
1766909423.89026,1743,1.7515945434570312
1766909429.9764109,1745,1.7515441179275513
1766909432.950437,1746,1.7527817487716675
1766909436.057194,1747,1.7522398233413696
1766909451.3063629,1752,1.750954031944275
1766909493.30593,1766,1.7498878240585327
1766909520.6336708,1775,1.7533687353134155
1766909538.8778398,1781,1.754091501235962
1766909560.177254,1788,1.7539411783218384
1766909563.088311,1789,1.7543039321899414
1766909590.350657,1798,1.7525664567947388
1766909611.944187,1805,1.7527645826339722
1766909639.170916,1814,1.754273533821106
1766909648.616577,1817,1.7558351755142212
1766909670.626744,1824,1.7547670602798462
1766909676.8394072,1826,1.7527421712875366
1766909689.186126,1830,1.7508310079574585
1766909720.2859719,1840,1.7500308752059937
1766909723.367591,1841,1.7505944967269897
1766909732.711953,1844,1.7526553869247437
1766909748.252049,1849,1.7470039129257202
1766909760.69105,1853,1.7465871572494507
1766909800.927789,1866,1.7479619979858398
1766909807.210649,1868,1.7495312690734863
1766909810.34187,1869,1.7506871223449707
1766909828.5482712,1875,1.7471436262130737
1766909831.5189152,1876,1.7486735582351685
1766909834.513016,1877,1.7487949132919312
1766909840.308789,1879,1.748457908630371
1766909882.15302,1893,1.7472182512283325
1766909936.020798,1911,1.7446762323379517
1766909953.810046,1917,1.7488206624984741
1766909974.402026,1924,1.749390959739685
1766909992.357486,1930,1.7524112462997437
1766910004.12193,1934,1.7527509927749634
1766910010.1812139,1936,1.7522358894348145
